Category,City,Customer Name,Discount,Manufacturer,Order ID,Product Name,Profit,Quantity,Region,Sales,Segment,Order Date,Ship Date,Ship Mode,State,Sub-Category,Product Container,Store Name,New Transportation,Unit Price,Shipping Cost,Priority
Office Supplies,Mirzapur,Nishikant Pai ,0.47,Kleencut,HKG-2017-15774,"Kleencut Ruler, Steel",-7,2,East,14,Corporate,2018/11/25,2018/11/29,Standard Class,Uttar Pradesh,Supplies,Small Box,Riley,Regular Air,99.99,19.99,Urgent
Furniture,Hastinapur,Suresh Tiwari ,0.1,Safco,HKG-2015-53497,"SAFCO Steel Folding Chair, Red",26,3,East,231,Consumer,2016/5/18,2016/5/23,Second Class,Uttar Pradesh,Chairs,Small Pack,Cement,Regular Air,20.24,8.99,Urgent
Office Supplies,Meerut,Sameer Bhatia ,0.1,Acme,HKG-2015-53497,"Acme Box Cutter, Easy Grip",-13,4,East,142,Consumer,2016/5/18,2016/5/23,Second Class,Uttar Pradesh,Supplies,Small Pack,Cement,Regular Air,20.24,8.99,Urgent
Office Supplies,Bhinga,Gaurav Kumar Das ,0.1,Breville,HKG-2017-72110,"Breville Microwave, Silver",-43,14,East,3811,Consumer,2018/1/8,2018/1/12,Standard Class,Uttar Pradesh,Appliances,Jumbo Drum,Lane,Delivery Truck,208.16,68.02,Not Specified
Office Supplies,Chunar,Arun Kumar ,0.1,Cuisinart,HKG-2017-72110,"Cuisinart Refrigerator, Silver",99,4,East,1789,Consumer,2018/1/8,2018/1/12,Standard Class,Uttar Pradesh,Appliances,Small Box,Cooper,Regular Air,18.97,9.03,Medium
Furniture,Kolkata,C Landge ,0.25,Novimex,HKG-2014-76884,"Novimex Steel Folding Chair, Red",-7,3,East,185,Consumer,2015/10/18,2015/10/24,Standard Class,West Bengal,Chairs,Small Box,Cooper,Regular Air,18.97,9.03,Medium
Office Supplies,Punganuru,Kishor Biswas ,0.15,Cardinal,HKG-2014-76884,"Cardinal Index Tab, Clear",1,3,South,19,Consumer,2015/10/18,2015/10/24,Standard Class,Andhra Pradesh,Binders,Small Pack,Bryant,Regular Air,6.84,4.42,Not Specified
Technology,Shillong,Mithun Deodhar ,0.25,Okidata,HKG-2014-76884,"Okidata Printer, Wireless",-113,2,North East,403,Consumer,2015/10/18,2015/10/24,Standard Class,Meghalaya,Machines,Small Box,Hunter,Regular Air,7.1,6.05,Medium
Office Supplies,Erode,Alan Modala ,0.45,Tenex,HKG-2014-76884,"Tenex Trays, Single Width",-3,2,South,60,Consumer,2015/10/18,2015/10/24,Standard Class,Tamil Nadu,Storage,Small Box,Hunter,Regular Air,7.1,6.05,Medium
Office Supplies,Gulaothi,Saket Bhardwaj ,0.5,Enermax,HKG-2014-29389,"Enermax Computer Printout Paper, 8.5 x 11",-9,1,East,16,Consumer,2015/9/28,2015/10/2,Standard Class,Uttar Pradesh,Paper,Small Box,Bray,Express Air,65.99,8.99,Urgent
Office Supplies,Kabrai,Sachin Saminathan ,0.5,Binney & Smith,HKG-2014-29389,"Binney & Smith Canvas, Blue",-48,2,East,51,Consumer,2015/9/28,2015/10/2,Standard Class,Uttar Pradesh,Art,Small Box,Bray,Express Air,65.99,8.99,Urgent
Furniture,Jaunpur,Anupam Ghosh ,0.5,Harbour Creations,HKG-2014-29389,"Harbour Creations Rocking Chair, Set of Two",-215,3,East,224,Consumer,2015/9/28,2015/10/2,Standard Class,Uttar Pradesh,Chairs,Small Pack,Bryant,Regular Air,6.84,4.42,Not Specified
Office Supplies,Abhayapuri,PARIMAL Saikia ,0.45,Ames,HKG-2016-20471,"Ames Interoffice Envelope, with clear poly window",-39,2,North East,54,Consumer,2017/1/10,2017/1/13,First Class,Assam,Envelopes,Small Box,Sooner,Express Air,12.97,1.49,Medium
Furniture,Bhatapara,Balaji Rajan ,0.25,Novimex,HKG-2016-20471,"Novimex Bag Chairs, Red",-31,4,North,138,Consumer,2017/1/10,2017/1/13,First Class,Chhattisgarh,Chairs,Small Box,Ford,Regular Air,39.06,10.55,Low
Office Supplies,Mahudha,Vimal Kumar ,0.45,Hon,HKG-2016-20471,"Hon Round Labels, 5000 Label Set",-10,3,West,12,Consumer,2017/1/10,2017/1/13,First Class,Gujarat,Labels,Small Box,Ford,Regular Air,20.95,4,Low
Office Supplies,Yamunanagar,Shivkumar Mohite ,0.45,Rogers,HKG-2016-20471,"Rogers File Cart, Single Width",-210,4,North,313,Consumer,2017/1/10,2017/1/13,First Class,Haryana,Storage,Jumbo Drum,Marietta,Delivery Truck,349.45,60,Urgent
Furniture,Robertsonpet,Rajesh Seetharaman ,0.55,Chromcraft,HKG-2016-20471,"Chromcraft Coffee Table, Adjustable Height",-388,6,South,727,Consumer,2017/1/10,2017/1/13,First Class,Karnataka,Tables,Small Box,Sooner,Express Air,12.97,1.49,Medium
Office Supplies,Bagalkot,B Kulkarni ,0,Ibico,HKG-2015-66146,"Ibico Binder Covers, Recycled",1,1,South,14,Corporate,2016/11/16,2016/11/19,First Class,Karnataka,Binders,Small Box,Scott,Regular Air,16.98,12.39,High
Furniture,Piravam,Vasim Pillai ,0.2,Tenex,HKG-2014-27779,"Tenex Frame, Erganomic",-11,2,South,174,Consumer,2015/10/19,2015/10/23,Standard Class,Kerala,Furnishings,Small Box,Ford,Regular Air,20.95,4,Low
Office Supplies,Nilanga,Sanjay Kumar Bhatnagar ,0.5,Tenex,HKG-2014-27779,"Tenex Folders, Blue",-4,4,West,46,Consumer,2015/10/19,2015/10/23,Standard Class,Maharashtra,Storage,Jumbo Drum,Marietta,Delivery Truck,349.45,60,Urgent
Furniture,Bhadrak,Pushparaj Singh ,0.2,Tenex,HKG-2014-27779,"Tenex Door Stop, Black",-29,5,East,176,Consumer,2015/10/19,2015/10/23,Standard Class,Orissa,Furnishings,Small Box,Scott,Regular Air,16.98,12.39,High
Office Supplies,Muktsar,Ganeshan Joshi ,0.27,BIC,HKG-2017-54239,"BIC Pencil Sharpener, Water Color",-7,1,North,23,Home Office,2018/8/23,2018/8/27,Standard Class,Punjab,Art,Wrap Bag,Reed,Regular Air,2.78,1.34,Medium
Office Supplies,Sanaur,S Pathan ,0.47,GlobeWeis,HKG-2015-79551,"GlobeWeis Interoffice Envelope, Recycled",-21,3,North,74,Corporate,2016/12/26,2016/12/29,Second Class,Punjab,Envelopes,Wrap Bag,Reed,Regular Air,2.78,1.34,Medium
Office Supplies,Dhaulpur,P Parameswaran ,0.47,Acme,HKG-2015-79551,"Acme Box Cutter, Serrated",-20,3,North,55,Corporate,2016/12/26,2016/12/29,Second Class,Rajasthan,Supplies,Small Pack,Morgan,Regular Air,8.33,1.99,Medium
Office Supplies,Ootacamund,Sunil Tripathi ,0.47,Fellowes,HKG-2015-79551,"Fellowes Trays, Industrial",-81,5,South,153,Corporate,2016/12/26,2016/12/29,Second Class,Tamil Nadu,Storage,Small Pack,Morgan,Regular Air,8.33,1.99,Medium
Technology,Bah,Nilanjan Belgrove ,0.17,Motorola,HKG-2015-79551,"Motorola Smart Phone, Cordless",-418,5,East,2668,Corporate,2016/12/26,2016/12/29,Second Class,Uttar Pradesh,Phones,Small Box,Ford,Regular Air,39.06,10.55,Low
Technology,Anantapur,R Ramanamurthy ,0.47,Enermax,HKG-2015-79551,"Enermax Memory Card, USB",-178,5,South,304,Corporate,2016/12/26,2016/12/29,Second Class,Andhra Pradesh,Accessories,Jumbo Box,Griffin,Delivery Truck,100.98,26.22,Not Specified
Office Supplies,Raj Nandgaon,Kiritkumar Elegandalu ,0,Xerox,HKG-2015-52979,"Xerox Message Books, 8.5 x 11",2,3,Central,74,Corporate,2016/6/30,2016/7/5,Standard Class,Chhattisgarh,Paper,Small Box,Powell,Regular Air,10.91,2.99,Not Specified
Office Supplies,Veraval,Abhay Narashima ,0,Elite,HKG-2015-52979,"Elite Ruler, Steel",22,5,West,66,Corporate,2016/6/30,2016/7/5,Standard Class,Gujarat,Supplies,Small Box,Ford,Regular Air,140.99,4.2,Medium
Furniture,Botad,Imran Gupte ,0.3,Barricks,HKG-2015-52979,"Barricks Wood Table, with Bottom Storage",-155,3,West,1086,Corporate,2016/6/30,2016/7/5,Standard Class,Gujarat,Tables,Jumbo Box,Griffin,Delivery Truck,100.98,26.22,Not Specified
Furniture,Palakkad,Jay Tripathi ,0.47,Barricks,HKG-2016-52643,"Barricks Training Table, Rectangular",19,2,South,335,Consumer,2017/4/9,2017/4/15,Standard Class,Kerala,Tables,Small Box,Alexander,Regular Air,9.78,1.39,Not Specified
Office Supplies,Pali,P Kumar ,0.17,Eldon,HKG-2016-52643,"Eldon Shelving, Single Width",-29,5,North,201,Consumer,2017/4/9,2017/4/15,Standard Class,Rajasthan,Storage,Wrap Bag,Hermingen,Regular Air,41.47,34.2,High
Furniture,Salem,Gopal Solanki ,0.47,Barricks,HKG-2016-52643,"Barricks Wood Table, Rectangular",-298,2,South,545,Consumer,2017/4/9,2017/4/15,Standard Class,Tamil Nadu,Tables,Wrap Bag,Hermingen,Regular Air,41.47,34.2,High
Office Supplies,Misrikh,Sahil Vora ,0.17,Breville,HKG-2016-52643,"Breville Refrigerator, Black",135,1,East,431,Consumer,2017/4/9,2017/4/15,Standard Class,Uttar Pradesh,Appliances,Small Box,Alexander,Regular Air,9.78,1.39,Not Specified
Furniture,Rae Bareli,Sandip George ,0.47,Chromcraft,HKG-2016-52643,"Chromcraft Training Table, with Bottom Storage",-216,2,East,301,Consumer,2017/4/9,2017/4/15,Standard Class,Uttar Pradesh,Tables,Small Box,Powell,Regular Air,10.91,2.99,Not Specified
Office Supplies,Bhatpara,Rajiv Das ,0.1,SanDisk,HKG-2017-42689,"SanDisk Computer Printout Paper, Premium",-2,4,East,107,Consumer,2018/12/13,2018/12/15,Second Class,West Bengal,Paper,Small Box,Ford,Regular Air,140.99,4.2,Medium
Furniture,Baruni,Swaminathan Moran ,0,Eldon,HKG-2016-26015,"Eldon Frame, Durable",37,3,East,340,Consumer,2017/6/26,2017/6/30,Standard Class,Bihar,Furnishings,Small Pack,Olson,Regular Air,13.4,4.95,High
Office Supplies,Yavatmal,Deepak Lal ,0.4,Eaton,HKG-2015-30712,"Eaton Cards & Envelopes, Premium",-24,3,West,81,Corporate,2016/11/10,2016/11/14,Standard Class,Maharashtra,Paper,Small Pack,Olson,Regular Air,13.4,4.95,High
Office Supplies,Bahadurgarh,Vishal Pawar ,0.4,Kleencut,HKG-2015-30712,"Kleencut Scissors, Steel",-24,9,North,117,Corporate,2016/11/10,2016/11/14,Standard Class,Haryana,Supplies,Wrap Bag,Hall,Regular Air,1.68,1.57,High
Office Supplies,Hukeri,Deepak Jain ,0.4,Sanford,HKG-2015-30712,"Sanford Pencil Sharpener, Water Color",-28,5,South,87,Corporate,2016/11/10,2016/11/14,Standard Class,Karnataka,Art,Large Box,Morgan,Regular Air,32.48,35,High
Technology,Sironj,Tirupal Gupta ,0.4,Memorex,HKG-2015-30712,"Memorex Flash Drive, Bluetooth",-23,6,Central,106,Corporate,2016/11/10,2016/11/14,Standard Class,Madhya Pradesh,Accessories,Wrap Bag,Hall,Regular Air,1.68,1.57,High
Office Supplies,Burhanpur,Nilanjan Belgrove ,0.4,Accos,HKG-2015-30712,"Accos Staples, Assorted Sizes",-3,2,Central,10,Corporate,2016/11/10,2016/11/14,Standard Class,Madhya Pradesh,Fasteners,Small Box,Sooner,Regular Air,200.99,4.2,Not Specified
Office Supplies,Chopda,Manish Pechetty ,0.1,Ames,HKG-2017-64606,"Ames Business Envelopes, Security-Tint",-1,2,West,26,Corporate,2018/12/19,2018/12/24,Second Class,Maharashtra,Envelopes,Small Box,Sooner,Regular Air,200.99,4.2,Not Specified
Furniture,Nashik,Uttam Sharma ,0.27,Novimex,HKG-2017-28122,"Novimex Executive Leather Armchair, Black",-330,3,West,1003,Corporate,2018/1/5,2018/1/9,Second Class,Maharashtra,Chairs,Large Box,Morgan,Regular Air,32.48,35,High
Furniture,Bhilwara,R Harikant ,0.27,Harbour Creations,HKG-2017-28122,"Harbour Creations Rocking Chair, Adjustable",-76,3,North,328,Corporate,2018/1/5,2018/1/9,Second Class,Rajasthan,Chairs,Small Box,Bryant,Regular Air,33.89,5.1,Low
Office Supplies,Nagercoil,Arun Kumar ,0.5,Acme,HKG-2016-11322,"Acme Scissors, Easy Grip",-13,7,South,95,Consumer,2017/7/29,2017/8/1,Second Class,Tamil Nadu,Supplies,Small Pack,Coleman,Regular Air,4.98,4.62,Urgent
Technology,Agartala,Ramana M ,0.5,Motorola,HKG-2016-11322,"Motorola Speaker Phone, Full Size",-260,9,East,590,Consumer,2017/7/29,2017/8/1,Second Class,Tripura,Phones,Small Pack,Coleman,Regular Air,4.98,4.62,Urgent
Furniture,Agra,Ranjita Verma ,0.2,Advantus,HKG-2016-11322,"Advantus Light Bulb, Duo Pack",-4,2,East,32,Consumer,2017/7/29,2017/8/1,Second Class,Uttar Pradesh,Furnishings,Small Pack,Bailey,Express Air,39.24,1.99,Not Specified
Office Supplies,Agra,Ravindra Maratha ,0.47,OIC,HKG-2017-44131,"OIC Rubber Bands, Bulk Pack",-16,7,East,63,Home Office,2018/4/3,2018/4/5,Second Class,Uttar Pradesh,Fasteners,Small Pack,Bailey,Express Air,39.24,1.99,Not Specified
Furniture,Bhatpara,C Landge ,0.1,Bush,HKG-2016-62163,"Bush Classic Bookcase, Metal",272,2,East,742,Consumer,2017/11/6,2017/11/12,Standard Class,West Bengal,Bookcases,Small Box,Bryant,Regular Air,33.89,5.1,Low
Office Supplies,Visakhapatnam,Sandip Vijay Modi ,0.1,Accos,HKG-2016-62163,"Accos Rubber Bands, Metal",4,1,South,15,Consumer,2017/11/6,2017/11/12,Standard Class,Andhra Pradesh,Fasteners,Small Box,Garden,Express Air,27.48,4,High
Office Supplies,Banmankhi,Pushparaj Singh ,0.1,Accos,HKG-2016-62163,"Accos Thumb Tacks, Assorted Sizes",-1,4,East,40,Consumer,2017/11/6,2017/11/12,Standard Class,Bihar,Fasteners,Small Box,Garden,Express Air,27.48,4,High
Furniture,Chotila,Sandeep BHASKAR BABU ,0.27,Rubbermaid,HKG-2016-53161,"Rubbermaid Door Stop, Duo Pack",-13,2,West,64,Corporate,2017/4/23,2017/4/28,Standard Class,Gujarat,Furnishings,Small Box,Hall,Regular Air,172.99,19.99,Low
Furniture,Ashta,O Gupta ,0.27,Deflect-O,HKG-2014-50991,"Deflect-O Frame, Black",55,5,Central,402,Corporate,2015/4/23,2015/4/27,Standard Class,Madhya Pradesh,Furnishings,Wrap Bag,Crawford,Regular Air,2.78,1.34,High
Office Supplies,Bhilwara,Rajnish Katke ,0.17,Hamilton Beach,HKG-2014-50991,"Hamilton Beach Refrigerator, Black",-135,3,North,1244,Corporate,2015/4/23,2015/4/27,Standard Class,Rajasthan,Appliances,Wrap Bag,Crawford,Regular Air,2.78,1.34,High
Technology,Ootacamund,K Kumar Rej ,0.47,SanDisk,HKG-2014-50991,"SanDisk Keyboard, Programmable",-57,4,South,176,Corporate,2015/4/23,2015/4/27,Standard Class,Tamil Nadu,Accessories,Small Box,Hall,Regular Air,172.99,19.99,Low
Furniture,Muzaffarnagar,GAURAV Pukazhum Perumal ,0.27,Harbour Creations,HKG-2014-50991,"Harbour Creations Chairmat, Black",-67,6,East,305,Corporate,2015/4/23,2015/4/27,Standard Class,Uttar Pradesh,Chairs,Large Box,Collins,Regular Air,218.08,18.06,Low
Office Supplies,Afzalgarh,Partho G ,0.47,Eaton,HKG-2014-36830,"Eaton Note Cards, 8.5 x 11",-12,3,East,42,Consumer,2015/11/10,2015/11/13,First Class,Uttar Pradesh,Paper,Large Box,Collins,Regular Air,218.08,18.06,Low
Office Supplies,Hyderabad,SaiKumar C,0.17,Cardinal,HKG-2015-17538,"Cardinal 3-Hole Punch, Durable",14,2,South,50,Consumer,2016/11/17,2016/11/21,Standard Class,Telangana,Binders,Small Pack,Marietta,Express Air,8.46,8.99,Urgent
Office Supplies,Guntur,Ramkrishna Gambhir ,0.47,Acme,HKG-2015-17538,"Acme Box Cutter, High Speed",-18,3,South,60,Consumer,2016/11/17,2016/11/21,Standard Class,Andhra Pradesh,Supplies,Small Pack,Webb,Regular Air,22.23,3.63,Low
Technology,Bhongir,Mohan Kumar Koneti ,0.17,Panasonic,HKG-2015-39987,"Panasonic Receipt Printer, White",-29,6,South,594,Corporate,2016/6/10,2016/6/14,Standard Class,Telangana,Machines,Small Box,Gutierrez,Regular Air,99.99,19.99,High
Furniture,Narasaraopet,Sumit Abraham ,0,Rubbermaid,HKG-2014-64599,"Rubbermaid Photo Frame, Erganomic",24,4,South,201,Corporate,2015/2/10,2015/2/15,Standard Class,Andhra Pradesh,Furnishings,Small Box,Morris,Regular Air,49.99,19.99,Medium
Office Supplies,Nalgonda,H Juneja ,0,Fiskars,HKG-2014-64599,"Fiskars Trimmer, Easy Grip",71,7,South,307,Corporate,2015/2/10,2015/2/15,Standard Class,Telangana,Supplies,Small Box,Morris,Regular Air,49.99,19.99,Medium
Technology,Mancherial,Md. Manimaran ,0,Samsung,HKG-2014-64599,"Samsung Smart Phone, VoIP",2939,11,South,6999,Corporate,2015/2/10,2015/2/15,Standard Class,Telangana,Phones,Small Box,Robinson,Regular Air,18.97,9.54,Medium
Office Supplies,Barh,Bibekananda Gandhi ,0.1,Rogers,HKG-2014-46021,"Rogers File Cart, Single Width",-6,2,East,256,Consumer,2015/9/17,2015/9/19,First Class,Bihar,Storage,Small Box,Gutierrez,Regular Air,99.99,19.99,High
Technology,Patna,Dharmendra Dutta ,0.47,Logitech,HKG-2015-69065,"Logitech Numeric Keypad, USB",6,4,East,99,Consumer,2016/8/8,2016/8/14,Standard Class,Bihar,Accessories,Wrap Bag,Robinson,Express Air,70.71,37.58,Medium
Technology,Veraval,Gunajit Sharma ,0.07,HP,HKG-2015-69065,"HP Personal Copier, High-Speed",-15,2,West,228,Consumer,2016/8/8,2016/8/14,Standard Class,Gujarat,Copiers,Small Pack,Webb,Regular Air,22.23,3.63,Low
Technology,Shimoga,Nabanit Raha ,0.35,Canon,HKG-2015-40750,"Canon Copy Machine, Laser",-184,7,South,1193,Home Office,2016/9/20,2016/9/26,Standard Class,Karnataka,Copiers,Small Box,Hunter,Express Air,205.99,5,Medium
Office Supplies,Shimoga,Biswajit Tiwari ,0.1,GlobeWeis,HKG-2016-56276,"GlobeWeis Business Envelopes, Set of 50",-3,2,South,31,Home Office,2017/10/18,2017/10/24,Standard Class,Karnataka,Envelopes,Small Box,Waynoka,Regular Air,4.98,4.72,Not Specified
Office Supplies,Hoshangabad,Pramod Parmar ,0.47,Eaton,HKG-2014-29865,"Eaton Computer Printout Paper, 8.5 x 11",-15,4,Central,65,Consumer,2015/9/11,2015/9/18,Standard Class,Madhya Pradesh,Paper,Small Box,Waynoka,Regular Air,4.98,4.72,Not Specified
Office Supplies,Shivpuri,Krishna Gambhire ,0.47,Accos,HKG-2017-36263,"Accos Thumb Tacks, Assorted Sizes",-18,4,Central,24,Corporate,2018/11/27,2018/11/29,First Class,Madhya Pradesh,Fasteners,Small Box,Peterson,Regular Air,2.88,0.99,High
Furniture,Phaltan,Ravindra Bhatia ,0.27,Office Star,HKG-2017-36263,"Office Star Rocking Chair, Red",-45,2,West,206,Corporate,2018/11/27,2018/11/29,First Class,Maharashtra,Chairs,Small Box,Gonzales,Regular Air,175.99,8.99,High
Technology,Ahmadnagar,N Vishwanath ,0.5,Samsung,HKG-2015-67126,"Samsung Office Telephone, with Caller ID",-147,5,West,163,Consumer,2016/6/21,2016/6/26,Second Class,Maharashtra,Phones,Small Box,Hunter,Express Air,205.99,5,Medium
Office Supplies,Latur,Ram Bala Murugan ,0.47,Avery,HKG-2017-67357,"Avery Shipping Labels, Alphabetical",-6,7,West,43,Consumer,2018/12/3,2018/12/8,Second Class,Maharashtra,Labels,Small Pack,Marietta,Regular Air,14.98,8.99,Urgent
Office Supplies,Bhusawal,Joydev A ,0,Eldon,HKG-2014-21101,"Eldon File Cart, Blue",171,5,West,635,Corporate,2015/12/1,2015/12/4,First Class,Maharashtra,Storage,Small Pack,Marietta,Express Air,8.46,8.99,Urgent
Technology,Bargarh,Sunil Karasala ,0,Belkin,HKG-2014-21101,"Belkin Keyboard, USB",93,3,East,252,Corporate,2015/12/1,2015/12/4,First Class,Orissa,Accessories,Small Box,Robinson,Regular Air,18.97,9.54,Medium
Office Supplies,Pathankot,Gurjinder Deshpande ,0.1,Smead,HKG-2016-54337,"Smead File Folder Labels, Alphabetical",-1,6,North,47,Consumer,2017/4/17,2017/4/20,First Class,Punjab,Labels,Small Pack,Hunter,Regular Air,17.48,1.99,Medium
Office Supplies,Beawar,Sarath Kumar ,0.47,Stockwell,HKG-2014-69716,"Stockwell Staples, Assorted Sizes",-8,4,North,17,Corporate,2015/6/8,2015/6/10,Second Class,Rajasthan,Fasteners,Small Box,Gonzales,Regular Air,175.99,8.99,High
Office Supplies,Vellore,Gaurav Bhaskar Rao ,0.17,Fellowes,HKG-2014-69716,"Fellowes Box, Wire Frame",0,2,South,31,Corporate,2015/6/8,2015/6/10,Second Class,Tamil Nadu,Storage,Small Box,Daniels,Regular Air,8.04,8.94,Not Specified
Furniture,Faizabad,Jaya Saluja ,0.25,Deflect-O,HKG-2016-58579,"Deflect-O Stacking Tray, Erganomic",-8,2,East,36,Home Office,2017/12/20,2017/12/25,Standard Class,Uttar Pradesh,Furnishings,Small Box,Daniels,Regular Air,8.04,8.94,Not Specified
Office Supplies,Lalitpur,Vinit Virmani ,0.17,Cardinal,HKG-2017-23075,"Cardinal 3-Hole Punch, Economy",-2,4,East,96,Corporate,2018/10/1,2018/10/8,Standard Class,Uttar Pradesh,Binders,Small Pack,Hunter,Regular Air,17.48,1.99,Medium
Office Supplies,Lucknow,Saumya Dave ,0.1,GlobeWeis,HKG-2016-47141,"GlobeWeis Business Envelopes, Set of 50",-3,2,East,31,Home Office,2017/7/10,2017/7/15,Standard Class,Uttar Pradesh,Envelopes,Medium Box,Hunter,Regular Air,300.98,13.99,Medium
Technology,Agra,Abhijit Bikrol ,0.5,Brother,HKG-2014-73202,"Brother Personal Copier, Color",0,13,East,938,Consumer,2015/6/7,2015/6/11,Standard Class,Uttar Pradesh,Copiers,Wrap Bag,Robinson,Express Air,70.71,37.58,Medium
Technology,Lakhimpur,Nilesh Chavan ,0.5,SanDisk,HKG-2014-73202,"SanDisk Keyboard, Programmable",-33,2,East,83,Consumer,2015/6/7,2015/6/11,Standard Class,Uttar Pradesh,Accessories,Small Box,Peterson,Regular Air,2.88,0.99,High
Office Supplies,Kolkata,Amit Srivastava ,0.5,Avery,HKG-2014-73202,"Avery Legal Exhibit Labels, 5000 Label Set",-6,7,East,41,Consumer,2015/6/7,2015/6/11,Standard Class,West Bengal,Labels,Medium Box,Hunter,Regular Air,300.98,13.99,Medium
Office Supplies,Kolkata,Ram Shyam ,0.5,Stanley,HKG-2014-73202,"Stanley Highlighters, Blue",-12,4,East,29,Consumer,2015/6/7,2015/6/11,Standard Class,West Bengal,Art,Small Pack,Marietta,Regular Air,14.98,8.99,Urgent
Furniture,Nalgonda,Mani Acharya ,0.5,Harbour Creations,HKG-2016-77836,"Harbour Creations Swivel Stool, Adjustable",-241,3,South,274,Consumer,2017/12/11,2017/12/16,Standard Class,Telangana,Chairs,Small Box,Freeman,Regular Air,40.98,7.47,Urgent
Furniture,Jamui,Alan Shiragumpi ,0.27,Harbour Creations,HKG-2017-50844,"Harbour Creations Steel Folding Chair, Set of Two",-21,1,East,73,Consumer,2018/10/25,2018/10/29,Standard Class,Bihar,Chairs,Jumbo Box,Freeman,Delivery Truck,417.4,75.23,Urgent
Furniture,Porbandar,K Naveen Kumar ,0.27,Safco,HKG-2016-21290,"SAFCO Executive Leather Armchair, Black",-129,2,West,670,Consumer,2017/4/24,2017/4/28,Standard Class,Gujarat,Chairs,Small Box,Daniels,Regular Air,4.37,5.15,High
Office Supplies,Hisar,Roland Shukla ,0.27,Binney & Smith,HKG-2016-67371,"Binney & Smith Markers, Fluorescent",-4,2,North,37,Corporate,2017/8/15,2017/8/19,Standard Class,Haryana,Art,Small Box,Warren,Regular Air,24.95,2.99,Not Specified
Office Supplies,Panipat,Ranjita Verma ,0.1,Ibico,HKG-2015-55422,"Ibico Hole Reinforcements, Durable",3,4,North,31,Consumer,2016/7/5,2016/7/9,Standard Class,Haryana,Binders,Small Box,Warren,Regular Air,24.95,2.99,Not Specified
Furniture,Dugda,Rituparna Rishi Kumar ,0.07,Sauder,HKG-2017-53623,"Sauder Corner Shelving, Pine",131,8,Central,1106,Corporate,2018/6/4,2018/6/8,Standard Class,Jharkhand,Bookcases,Small Box,Freeman,Regular Air,40.98,7.47,Urgent
Office Supplies,Bhadravati,M Kolle ,0.47,Eaton,HKG-2017-53623,"Eaton Message Books, Recycled",-6,6,South,65,Corporate,2018/6/4,2018/6/8,Standard Class,Karnataka,Paper,Small Box,Daniels,Regular Air,4.37,5.15,High
Office Supplies,Nagda,Ravindra Maratha ,0,Boston,HKG-2015-39875,"Boston Sketch Pad, Blue",20,2,Central,97,Consumer,2016/4/26,2016/4/28,Second Class,Madhya Pradesh,Art,Small Box,Harper,Regular Air,40.98,6.5,High
Furniture,Satara,Sreedhar Kharbanda ,0.3,Barricks,HKG-2015-39875,"Barricks Round Table, Fully Assembled",-327,5,West,1760,Consumer,2016/4/26,2016/4/28,Second Class,Maharashtra,Tables,Small Box,Harper,Regular Air,40.98,6.5,High
Furniture,Gadhinglaj,Rashmi Mulki ,0.3,Lesro,HKG-2017-36361,"Lesro Wood Table, Rectangular",-158,2,West,651,Corporate,2018/10/15,2018/10/20,Standard Class,Maharashtra,Tables,Small Box,Marietta,Regular Air,22.38,15.1,Low
Office Supplies,Deolali,K Naveen Kumar ,0.45,Cameo,HKG-2017-43725,"Cameo Peel and Seal, Recycled",-46,7,West,76,Corporate,2018/11/6,2018/11/10,Standard Class,Maharashtra,Envelopes,Jumbo Box,Freeman,Delivery Truck,417.4,75.23,Urgent
Technology,Bhubaneswar,G Rajpal ,0.17,Cisco,HKG-2016-15935,"Cisco Speaker Phone, Cordless",68,4,East,469,Consumer,2017/10/30,2017/11/3,Standard Class,Orissa,Phones,Small Box,Marietta,Regular Air,12.95,4.98,Low
Office Supplies,Tiruppuvanam,Baldeo Deepika ,0.17,Avery,HKG-2016-15935,"Avery Binder, Durable",-7,5,South,60,Consumer,2017/10/30,2017/11/3,Standard Class,Tamil Nadu,Binders,Small Box,Marietta,Regular Air,22.38,15.1,Low
Furniture,Alandur,Prasanna Agarwal ,0.25,Safco,HKG-2016-13562,"SAFCO Steel Folding Chair, Black",70,4,South,250,Consumer,2017/9/4,2017/9/9,Standard Class,Tamil Nadu,Chairs,Small Box,Marietta,Regular Air,12.95,4.98,Low
Office Supplies,Medak,Raghavendrarao Parashar ,0.45,Smead,HKG-2016-13562,"Smead Box, Wire Frame",-13,4,South,22,Consumer,2017/9/4,2017/9/9,Standard Class,Telangana,Storage,Wrap Bag,Rice,Regular Air,20.99,0.99,Urgent
Office Supplies,Munger,N Roy ,0.45,Ames,HKG-2016-13562,"Ames Clasp Envelope, with clear poly window",-28,6,East,35,Consumer,2017/9/4,2017/9/9,Standard Class,Bihar,Envelopes,Small Box,Cruz,Regular Air,30.98,5.76,Not Specified
Office Supplies,Veraval,N Arora ,0.47,Novimex,HKG-2015-23502,"Novimex Shipping Labels, Laser Printer Compatible",-27,8,West,47,Consumer,2016/12/4,2016/12/9,Standard Class,Gujarat,Labels,Wrap Bag,Wright,Regular Air,2.78,0.97,Urgent
Office Supplies,Bhind,Manab S ,0.17,Avery,HKG-2017-34737,"Avery Binder Covers, Durable",-4,2,Central,21,Corporate,2018/3/18,2018/3/25,Standard Class,Madhya Pradesh,Binders,Small Box,Hermingen,Regular Air,2.08,5.33,Low
